step,preco,acao,saldo,lucro_acumulado
462,2.7119,CLOSE,9112.49047922259,-887.5095207774102
463,2.6878,CLOSE,9112.49047922259,-887.5095207774102
464,2.7052,CLOSE,9112.49047922259,-887.5095207774102
465,2.7337,CLOSE,9112.49047922259,-887.5095207774102
466,2.713,CLOSE,9112.49047922259,-887.5095207774102
467,2.6763,BUY,9107.934233982978,-892.0657660170218
468,2.6938,SELL,8895.535705063838,-1104.4642949361623
470,2.7277,BUY,8965.739394992122,-1034.2606050078775
471,2.7391,BUY,9049.212941358162,-950.7870586418376
472,2.6817,HOLD,9088.51662910899,-911.48337089101
473,2.6844,BUY,8974.723095049454,-1025.276904950546
474,2.7047,BUY,9197.069671468416,-802.9303285315837
475,2.7084,BUY,9053.70479138683,-946.29520861317
476,2.7209,HOLD,9027.876653722,-972.1233462780001
477,2.7833,CLOSE,9070.174908158606,-929.8250918413942
478,2.7648,SELL,9061.156951007031,-938.8430489929688
479,2.7376,SELL,9130.671172461887,-869.3288275381128
480,2.7515,SELL,9268.220589383196,-731.779410616804
481,2.7492,SELL,9287.81768372951,-712.1823162704895
484,2.685,HOLD,9444.224682002936,-555.7753179970641
486,2.5976,CLOSE,9254.909355487585,-745.0906445124147
487,2.6245,SELL,9245.751322334338,-754.2486776656624
488,2.6084,CLOSE,9290.39265341677,-709.6073465832305
489,2.5285,SELL,9281.124581428894,-718.8754185711059
491,2.4986,SELL,9278.0282935112,-721.9717064887991
492,2.4298,CLOSE,9189.78408785695,-810.2159121430504
493,2.4514,CLOSE,9185.14120412437,-814.8587958756307
494,2.4288,SELL,9180.548633522307,-819.4513664776932
495,2.4755,SELL,9127.801606631236,-872.1983933687643
496,2.4719,HOLD,9125.164255286683,-874.8357447133167
497,2.4554,SELL,9167.36187679954,-832.6381232004605
498,2.4731,SELL,9132.69954484255,-867.3004551574504
500,2.3909,HOLD,9205.038324578874,-794.9616754211256
503,2.4292,CLOSE,9286.042687304449,-713.9573126955511
504,2.3988,HOLD,9281.450116702386,-718.5498832976136
505,2.4582,CLOSE,9281.450116702386,-718.5498832976136
