data,par,preco,adx,sinal,confianca
22:46:04,1764294364.971654,CLOUSDT,0.3269,13.8,NEUTRO,43.2
22:46:06,1764294366.429001,SQDUSDT,0.08358,34.6,NEUTRO,34.2
22:46:07,1764294367.874614,TRADOORUSDT,1.993,21.0,NEUTRO,42.8
22:46:09,1764294369.336273,YALAUSDT,0.04489,18.1,NEUTRO,46.1
22:46:10,1764294370.799242,MUSDT,1.2257,10.1,NEUTRO,44.3
22:46:12,1764294372.25046,CLOUSDT,0.3269,13.8,NEUTRO,43.2
22:46:13,1764294373.722847,SQDUSDT,0.08366,34.6,NEUTRO,34.5
22:46:15,1764294375.203019,TRADOORUSDT,1.989,21.0,NEUTRO,43.1
22:46:16,1764294376.643264,YALAUSDT,0.04487,18.1,NEUTRO,47.0
22:46:18,1764294378.093167,MUSDT,1.2256,10.1,NEUTRO,44.3
22:46:19,1764294379.582882,CLOUSDT,0.3271,13.8,NEUTRO,43.3
22:46:21,1764294381.030397,SQDUSDT,0.08365,34.6,NEUTRO,34.4
22:46:22,1764294382.529443,TRADOORUSDT,1.992,21.0,NEUTRO,42.5
22:46:24,1764294384.021315,YALAUSDT,0.04473,18.1,NEUTRO,46.8
22:46:25,1764294385.485954,MUSDT,1.2255,10.1,NEUTRO,44.1
22:46:26,1764294386.960856,CLOUSDT,0.3273,13.8,NEUTRO,41.7
22:46:28,1764294388.449009,SQDUSDT,0.084,34.6,NEUTRO,34.6
22:46:29,1764294389.906071,TRADOORUSDT,1.991,21.0,NEUTRO,42.6
22:46:31,1764294391.377204,YALAUSDT,0.04453,18.1,NEUTRO,46.0
22:46:32,1764294392.85002,MUSDT,1.2256,10.1,NEUTRO,44.2
22:46:34,1764294394.287415,CLOUSDT,0.3272,13.8,NEUTRO,42.3
22:46:35,1764294395.74228,SQDUSDT,0.08392,34.6,NEUTRO,34.6
22:46:37,1764294397.197919,TRADOORUSDT,1.987,21.0,NEUTRO,43.2
22:46:38,1764294398.639542,YALAUSDT,0.04454,18.1,NEUTRO,45.6
22:46:40,1764294400.074104,MUSDT,1.2237,10.1,NEUTRO,43.3
22:46:41,1764294401.53743,CLOUSDT,0.3263,13.8,NEUTRO,43.1
22:46:42,1764294402.991275,SQDUSDT,0.08419,34.6,NEUTRO,34.9
22:46:44,1764294404.44904,TRADOORUSDT,1.988,21.0,NEUTRO,43.3
22:46:47,1764294407.353029,MUSDT,1.2219,10.1,NEUTRO,41.7
22:46:48,1764294408.810068,CLOUSDT,0.3261,13.8,NEUTRO,44.3
22:46:50,1764294410.253644,SQDUSDT,0.08416,34.6,NEUTRO,34.8
22:46:51,1764294411.712989,TRADOORUSDT,1.984,21.0,NEUTRO,42.2
22:46:54,1764294414.628828,MUSDT,1.2219,10.1,NEUTRO,41.7
22:46:56,1764294416.096496,CLOUSDT,0.3263,13.8,NEUTRO,42.8
22:46:57,1764294417.544864,SQDUSDT,0.08458,34.6,NEUTRO,36.8
22:46:59,1764294419.004902,TRADOORUSDT,1.984,21.0,NEUTRO,42.2
22:47:00,1764294420.441166,YALAUSDT,0.0445,17.9,NEUTRO,47.6
22:47:01,1764294421.881794,MUSDT,1.2217,10.1,NEUTRO,41.9
22:47:03,1764294423.324905,CLOUSDT,0.3266,13.8,NEUTRO,42.7
22:47:04,1764294424.764981,SQDUSDT,0.08444,34.6,NEUTRO,36.5
22:47:06,1764294426.210298,TRADOORUSDT,1.985,21.0,NEUTRO,43.0
